genes,mod_types,rmgm_id,reference_pubmed1
PBANKA_1128100,disrupted,1,15590623
PBANKA_1128100,mutated,1,15590623
PBANKA_0819800,disrupted,1,19229315
PBANKA_0402200,disrupted,1,18575607
PBANKA_1302800,disrupted,1,16597467
PBANKA_0905900,disrupted,1,19220746
PBANKA_1101400,disrupted,1,19428669
PBANKA_1101400,disrupted,1,19428669
PBANKA_1315700,disrupted,1,19428669
PBANKA_1418300,disrupted,1,19428669
PBANKA_0719900,disrupted,1,16375894
PBANKA_0901300,disrupted,1,12021311
PBANKA_0514900,mutated,1,17049690
PBANKA_0515000,mutated,1,17049690
PBANKA_0515000,mutated,1,17049690
PBANKA_0514900,mutated,1,17049690
PBANKA_1349100,disrupted,1,15339842
PBANKA_1102200,mutated,1,18359107
PBANKA_0414800,disrupted,1,19218089
PBANKA_0925500,disrupted,1,18005753
PBANKA_1442000,disrupted,1,18434537
PBANKA_1432200,disrupted,1,19136003
PBANKA_1006200,disrupted,1,19181869
PBANKA_1006200,disrupted,1,19181869
PBANKA_1037500,disrupted,1,18389080
PBANKA_0417100,disrupted,1,Not published (yet)
PBANKA_1024600,disrupted,1,19438514
PBANKA_0903600,disrupted,1,Not published (yet)
PBANKA_0912100,disrupted,1,Not published (yet)
PBANKA_1413100,disrupted,1,19434237
PBANKA_1364300,disrupted,1,Not published (yet)
PBANKA_1204900,disrupted,1,Not published (yet)
PBANKA_0403800,disrupted,1,Not published (yet)
PBANKA_0819900,disrupted,1,Not published (yet)
PBANKA_1443000,disrupted,1,Not published (yet)
PBANKA_0836300,disrupted,1,Not published (yet)
PBANKA_1402600,disrupted,1,Not published (yet)
PBANKA_1241700,disrupted,1,Not published (yet)
PBANKA_0932200,disrupted,1,Not published (yet)
PBANKA_1113400,disrupted,1,Not published (yet)
PBANKA_1232200,disrupted,1,Not published (yet)
PBANKA_1229800,disrupted,1,Not published (yet)
PBANKA_0616700,disrupted,1,Not published (yet)
PBANKA_1212700,disrupted,1,Not published (yet)
PBANKA_1231300,disrupted,1,Not published (yet)
PBANKA_1018200,disrupted,1,Not published (yet)
PBANKA_1463000,disrupted,1,25262869
PBANKA_0209300,disrupted,1,20580650
PBANKA_0915600,disrupted,1,17284593
PBANKA_0416700,disrupted,1,19358847
PBANKA_0831000,mutated,1,19380117
PBANKA_0515000,mutated,1,18316385
PBANKA_0514900,mutated,1,18316385
PY17X_1337400,disrupted,1,19346470
PY17X_1337400,mutated,1,19346470
PY17X_1337400,mutated,1,19346470
PBANKA_1024600,disrupted,1,19438514
PBANKA_1024600,disrupted,1,19438514
PBANKA_1432200,disrupted,1,19438517
PBANKA_1432200,disrupted,1,19438517
PBANKA_1024600,disrupted,1,Not published (yet)
PBANKA_0403200,mutated,1,17981117
PBANKA_1240700,disrupted,1,19491095
PBANKA_1240700,disrupted,1,19491095
PBANKA_1008500,disrupted,1,19536257
PBANKA_1418900,disrupted,1,19165333
PBANKA_0804300,disrupted,1,17583362
PBANKA_1318600,disrupted,1,Not published (yet)
PBANKA_1110900,disrupted,1,Not published (yet)
PBANKA_0716400,disrupted,1,Not published (yet)
PY17X_1310300,disrupted,1,18710954
PBANKA_1136700,disrupted,1,19779564
PBANKA_1333700,disrupted,1,19779564
PBANKA_1136700,disrupted,1,19779564
PBANKA_1333700,disrupted,1,19779564
PBANKA_1333700,disrupted,1,19779564
PBANKA_0408200,disrupted,1,19779564
PBANKA_1433700,disrupted,1,Not published (yet)
PBANKA_0508000,disrupted,1,Not published (yet)
PBANKA_1034400,disrupted,1,20019192
PBANKA_1034400,disrupted,1,20019192
PBANKA_1034400,disrupted,1,20019192
PBANKA_1426200,disrupted,1,Not published (yet)
PBANKA_1038200,disrupted,1,19662167
PBANKA_0910300,disrupted,1,17030505
PBANKA_0910300,disrupted,1,19779564
PBANKA_1008200,disrupted,1,19779564
PBANKA_0831000,disrupted,1,19380117
PBANKA_1232400,disrupted,1,19682250
PBANKA_0831000,mutated,1,19727400
PBANKA_1040100,disrupted,1,20478340
PBANKA_1415100,disrupted,1,20478340
PBANKA_1127000,disrupted,1,20478340
PBANKA_1360500,disrupted,1,20478340
PBANKA_0403200,mutated,1,Not published (yet)
PBANKA_1359600,disrupted,1,19438517
